dataset,tas_bias,pr_bias,tas_change,pr_change,project,member,model
CMIP6_CAS-ESM2-0_r3i1p1f1,5.77,1.6934399999999998,2.78,0.055209600000000005,CMIP6,r3i1p1f1,CAS-ESM2-0
CMIP6_CESM2-WACCM_r1i1p1f1,2.95,1.4601600000000001,2.33,-0.0165024,CMIP6,r1i1p1f1,CESM2-WACCM
CMIP6_CESM2-WACCM_r2i1p1f1,3.03,1.48608,2.25,-0.0087264,CMIP6,r2i1p1f1,CESM2-WACCM
CMIP6_CESM2-WACCM_r3i1p1f1,2.97,1.48608,2.23,-0.015984,CMIP6,r3i1p1f1,CESM2-WACCM
CMIP6_CESM2_r10i1p1f1,2.9,1.48608,2.29,-0.0222912,CMIP6,r10i1p1f1,CESM2
CMIP6_CESM2_r11i1p1f1,2.9,1.4774399999999999,1.95,-0.031017600000000003,CMIP6,r11i1p1f1,CESM2
CMIP6_CESM2_r4i1p1f1,2.93,1.50336,2.15,-0.024019199999999997,CMIP6,r4i1p1f1,CESM2
CMIP6_CIESM_r1i1p1f1,3.3,2.40192,1.98,-7.8624e-05,CMIP6,r1i1p1f1,CIESM
CMIP6_CMCC-CM2-SR5_r1i1p1f1,3.2,1.50336,2.51,0.035510400000000004,CMIP6,r1i1p1f1,CMCC-CM2-SR5
CMIP6_CMCC-ESM2_r1i1p1f1,2.98,1.4774399999999999,2.31,-0.0014601599999999998,CMIP6,r1i1p1f1,CMCC-ESM2
CMIP6_CNRM-CM6-1-HR_r1i1p1f2,3.34,1.60704,2.63,0.025228800000000003,CMIP6,r1i1p1f2,CNRM-CM6-1-HR
CMIP6_CNRM-CM6-1_r1i1p1f2,2.94,1.5983999999999998,1.82,-0.0705888,CMIP6,r1i1p1f2,CNRM-CM6-1
CMIP6_CNRM-CM6-1_r2i1p1f2,3.07,1.58112,2.14,-0.024019199999999997,CMIP6,r2i1p1f2,CNRM-CM6-1
CMIP6_CNRM-CM6-1_r3i1p1f2,2.96,1.60704,1.92,-0.044928,CMIP6,r3i1p1f2,CNRM-CM6-1
CMIP6_CNRM-CM6-1_r4i1p1f2,2.89,1.60704,1.92,-0.041471999999999995,CMIP6,r4i1p1f2,CNRM-CM6-1
CMIP6_CNRM-CM6-1_r5i1p1f2,2.94,1.58976,1.83,-0.0550368,CMIP6,r5i1p1f2,CNRM-CM6-1
CMIP6_CNRM-CM6-1_r6i1p1f2,2.88,1.60704,1.97,-0.035856,CMIP6,r6i1p1f2,CNRM-CM6-1
CMIP6_CNRM-ESM2-1_r1i1p1f2,2.9,1.62432,1.65,-0.0230688,CMIP6,r1i1p1f2,CNRM-ESM2-1
CMIP6_CNRM-ESM2-1_r2i1p1f2,2.96,1.58976,1.68,-0.028339200000000002,CMIP6,r2i1p1f2,CNRM-ESM2-1
CMIP6_CNRM-ESM2-1_r3i1p1f2,3.58,1.58112,2.54,0.0571104,CMIP6,r3i1p1f2,CNRM-ESM2-1
CMIP6_CNRM-ESM2-1_r4i1p1f2,3.28,1.60704,2.72,0.0754272,CMIP6,r4i1p1f2,CNRM-ESM2-1
CMIP6_CNRM-ESM2-1_r5i1p1f2,2.99,1.5983999999999998,1.98,0.0162432,CMIP6,r5i1p1f2,CNRM-ESM2-1
CMIP6_CanESM5-CanOE_r1i1p2f1,2.96,1.4687999999999999,3.56,0.18489599999999998,CMIP6,r1i1p2f1,CanESM5-CanOE
CMIP6_CanESM5-CanOE_r2i1p2f1,3.0,1.4687999999999999,3.41,0.16070399999999999,CMIP6,r2i1p2f1,CanESM5-CanOE
CMIP6_CanESM5-CanOE_r3i1p2f1,2.95,1.4687999999999999,3.51,0.20304,CMIP6,r3i1p2f1,CanESM5-CanOE
CMIP6_CanESM5_r10i1p1f1,2.93,1.4687999999999999,3.46,0.204768,CMIP6,r10i1p1f1,CanESM5
CMIP6_CanESM5_r10i1p2f1,2.95,1.45152,3.47,0.17366399999999999,CMIP6,r10i1p2f1,CanESM5
CMIP6_CanESM5_r11i1p1f1,2.96,1.4774399999999999,3.36,0.14860800000000002,CMIP6,r11i1p1f1,CanESM5
CMIP6_CanESM5_r11i1p2f1,2.93,1.44288,3.48,0.16156800000000002,CMIP6,r11i1p2f1,CanESM5
CMIP6_CanESM5_r12i1p1f1,2.96,1.4601600000000001,3.25,0.128736,CMIP6,r12i1p1f1,CanESM5
CMIP6_CanESM5_r12i1p2f1,2.97,1.45152,3.42,0.187488,CMIP6,r12i1p2f1,CanESM5
CMIP6_CanESM5_r13i1p1f1,2.98,1.48608,3.15,0.143424,CMIP6,r13i1p1f1,CanESM5
CMIP6_CanESM5_r13i1p2f1,3.02,1.4774399999999999,3.5,0.205632,CMIP6,r13i1p2f1,CanESM5
CMIP6_CanESM5_r14i1p1f1,2.94,1.4687999999999999,3.24,0.171936,CMIP6,r14i1p1f1,CanESM5
CMIP6_CanESM5_r14i1p2f1,3.0,1.45152,3.52,0.214272,CMIP6,r14i1p2f1,CanESM5
CMIP6_CanESM5_r15i1p1f1,3.0,1.45152,3.36,0.17452800000000002,CMIP6,r15i1p1f1,CanESM5
CMIP6_CanESM5_r15i1p2f1,2.88,1.45152,3.32,0.16156800000000002,CMIP6,r15i1p2f1,CanESM5
CMIP6_CanESM5_r16i1p1f1,2.92,1.43424,3.41,0.171936,CMIP6,r16i1p1f1,CanESM5
CMIP6_CanESM5_r16i1p2f1,2.92,1.4774399999999999,3.36,0.18576,CMIP6,r16i1p2f1,CanESM5
CMIP6_CanESM5_r17i1p1f1,2.93,1.45152,3.2,0.17366399999999999,CMIP6,r17i1p1f1,CanESM5
CMIP6_CanESM5_r17i1p2f1,3.0,1.4774399999999999,3.27,0.184032,CMIP6,r17i1p2f1,CanESM5
CMIP6_CanESM5_r18i1p1f1,2.97,1.4687999999999999,2.98,0.12528,CMIP6,r18i1p1f1,CanESM5
CMIP6_CanESM5_r18i1p2f1,2.89,1.4601600000000001,3.39,0.19440000000000002,CMIP6,r18i1p2f1,CanESM5
CMIP6_CanESM5_r19i1p1f1,2.9,1.4687999999999999,3.46,0.158976,CMIP6,r19i1p1f1,CanESM5
CMIP6_CanESM5_r19i1p2f1,3.11,1.4687999999999999,3.48,0.18921600000000002,CMIP6,r19i1p2f1,CanESM5
CMIP6_CanESM5_r1i1p1f1,2.81,1.4601600000000001,3.36,0.18144,CMIP6,r1i1p1f1,CanESM5
CMIP6_CanESM5_r1i1p2f1,2.96,1.4687999999999999,3.56,0.18489599999999998,CMIP6,r1i1p2f1,CanESM5
CMIP6_CanESM5_r20i1p1f1,2.82,1.44288,3.51,0.18576,CMIP6,r20i1p1f1,CanESM5
CMIP6_CanESM5_r20i1p2f1,2.98,1.45152,3.78,0.208224,CMIP6,r20i1p2f1,CanESM5
CMIP6_CanESM5_r21i1p1f1,2.91,1.4687999999999999,3.27,0.175392,CMIP6,r21i1p1f1,CanESM5
CMIP6_CanESM5_r21i1p2f1,2.94,1.44288,3.53,0.178848,CMIP6,r21i1p2f1,CanESM5
CMIP6_CanESM5_r22i1p1f1,3.03,1.4774399999999999,3.54,0.183168,CMIP6,r22i1p1f1,CanESM5
